FRED Graph Observations,,,
Federal Reserve Economic Data,,,
Link: https://fred.stlouisfed.org,,,
Help: https://fredhelp.stlouisfed.org,,,
Economic Research Division,,,
Federal Reserve Bank of St. Louis,,,
,,,
PNICKUSDM,"Global price of Nickel, U.S. Dollars per Metric Ton, Monthly, Not Seasonally Adjusted",,
PCOPPUSDM,"Global price of Copper, U.S. Dollars per Metric Ton, Monthly, Not Seasonally Adjusted",,
PZINCUSDM,"Global price of Zinc, U.S. Dollars per Metric Ton, Monthly, Not Seasonally Adjusted",,
,,,
Frequency: Monthly,,,
observation_date,PNICKUSDM,PCOPPUSDM,PZINCUSDM
2016-02-01,8298.50000000000,4598.61904761905,1709.845238095240
2016-03-01,8717.25000000000,4953.79761904762,1801.690476190480
2016-04-01,8878.85714285714,4872.73809523810,1855.373809523810
2016-05-01,8660.35000000000,4694.53750000000,1869.025000000000
2016-06-01,8928.35227272727,4641.96590909091,2026.193181818180
2016-07-01,10262.85714285710,4864.90476190476,2183.250000000000
2016-08-01,10335.98863636360,4751.67045454546,2279.136363636360
2016-09-01,10191.78409090910,4722.20454545455,2292.306818181820
2016-10-01,10259.73809523810,4731.26190476190,2311.500000000000
2016-11-01,11128.90909090910,5450.93181818182,2566.204545454550
2016-12-01,10972.27500000000,5660.35000000000,2664.812500000000
2017-01-01,9971.46428571429,5754.55952380952,2714.797619047620
2017-02-01,10643.30000000000,5940.91250000000,2845.550000000000
2017-03-01,10204.66304347830,5824.63043478261,2776.880434782610
2017-04-01,9609.27777777778,5683.90277777778,2614.916666666670
2017-05-01,9155.11904761905,5599.55952380952,2590.214285714290
2017-06-01,8931.76136363636,5719.76136363636,2573.397727272730
2017-07-01,9491.39285714286,5985.11904761905,2787.190476190480
2017-08-01,10889.97727272730,6485.62500000000,2980.727272727270
2017-09-01,11215.78571428570,6577.16666666667,3116.857142857140
2017-10-01,11335.77272727270,6807.60227272727,3264.602272727270
2017-11-01,11972.00000000000,6826.54545454546,3229.306818181820
2017-12-01,11495.10526315790,6833.89473684211,3195.947368421050
2018-01-01,12864.87500000000,7065.85227272727,3441.522727272730
2018-02-01,13595.87500000000,7006.52500000000,3532.900000000000
2018-03-01,13392.50000000000,6799.17857142857,3269.178571428570
2018-04-01,13938.10000000000,6851.51250000000,3188.050000000000
2018-05-01,14366.48809523810,6825.27380952381,3059.869047619050
2018-06-01,15105.65476190480,6965.85714285714,3088.571428571430
2018-07-01,13793.86363636360,6250.75000000000,2656.125000000000
2018-08-01,13411.35227272730,6051.04545454546,2512.000000000000
2018-09-01,12510.35000000000,6050.76250000000,2434.675000000000
2018-10-01,12314.91304347830,6219.58695652174,2673.673913043480
2018-11-01,11239.71590909090,6195.92045454546,2595.693181818180
2018-12-01,10835.07894736840,6075.31578947368,2616.289473684210
2019-01-01,11523.09090909090,5939.10227272727,2569.704545454550
2019-02-01,12685.22500000000,6300.48750000000,2707.187500000000
2019-03-01,13026.27380952380,6439.46428571429,2850.595238095240
2019-04-01,12772.78750000000,6438.36250000000,2932.650000000000
2019-05-01,12016.30952380950,6017.90476190476,2742.809523809520
2019-06-01,11943.93750000000,5882.22500000000,2601.225000000000
2019-07-01,13546.30434782610,5941.19565217391,2446.510869565220
2019-08-01,15748.64285714290,5709.44047619048,2273.011904761900
